baseTick,quoteTick,bestAsk,bestAskSize,bestBid,bestBidSize,price,sequence,size,time
ETH3L,USDT,0.2547,7705.78590821,0.254,1308.0123,0.2543,1618271208871.0,16.538,2022-04-19 22:16:15.178
ETH3S,USDT,0.007457,114236.3694,0.007436,1000.0,0.007456,1618069061919.0,1000.0,2022-04-27 19:25:47.377
ETN,USDT,0.0050293,479.5158,0.0050119,13900.0,0.0050109,1612934814087.0,3067.5375,2022-04-27 19:25:47.380
EXRD,USDT,0.1267,1109.7693,0.1263,652.3006,0.1263,1646880687577.0,1.1602,2022-04-27 19:38:48.625
FALCONS,USDT,0.0335,28080.5317,0.0334,829.9994,0.0334,1639749689331.0,3.1951,2022-04-19 21:11:46.537
FEAR,USDT,0.3793,204.8852,0.3787,34.7368,0.3793,1622204868886.0,8.4646,2022-04-27 19:43:17.378
FET,BTC,8e-06,22.7372,7.99e-06,280.1847,8.01e-06,1612844910117.0,0.6176,2022-04-27 19:38:48.626
FIL,USDT,17.7312,0.7995,17.7281,1.49,17.7343,1614689019632.0,1.49,2022-04-27 19:41:03.809
FKX,BTC,1.0352e-06,1600.3454,1.0195e-06,8606.8447,1.0199e-06,1612857542137.0,548.39,2022-04-19 21:11:46.677
FKX,USDT,0.04234,1343.8461,0.04231,5336.6964,0.04231,1620929667679.0,548.39,2022-04-19 21:11:46.533
FKX,ETH,1.381e-05,1395.4796,1.347e-05,970.858,1.352e-05,1612847183681.0,491.766,2022-04-19 22:13:57.277
FLOW,BTC,0.0001441,80.9559,0.0001435,432.7937,0.0001443,1631644747507.0,0.4215,2022-04-19 21:11:46.555
FLUX,USDT,1.5749,228.12273796,1.5731,410.0,1.5749,1617623760498.0,1.40745444,2022-05-03 12:20:58.493
FLY,USDT,0.003111,109536.7892,0.0031,739971.6295,0.0031,1620321370993.0,37540.8828,2022-04-19 22:15:06.832
FORESTPLUS,USDT,0.0093573,149.8646,0.0093151,259.4953,0.0093353,1645520035413.0,5676.8189,2022-04-19 21:11:46.679
FORTH,USDT,6.1524,117.8879,6.14,7.8657,6.14,1619504688099.0,0.1113,2022-04-19 21:11:46.732
FRA,USDT,0.01151,54412.264,0.0115,22954.7498,0.01151,1649732060052.0,183.2673,2022-04-27 19:42:10.142
FRM,USDT,0.0732,3122.8513,0.0731,2764.5801,0.0731,1612715292316.0,83.0,2022-04-19 21:11:46.436
FRONT,USDT,0.5355,886.2067,0.535,50.0,0.5355,1612912850114.0,81.7732,2022-04-19 22:27:02.723
FTM,USDT,0.36203,31.828,0.36176,2918.1717,0.36202,1620957499700.0,1.9446,2022-05-14 22:37:37.188
FTM3L,USDT,0.013229,59620.0,0.013155,109.883,0.013225,1634265110561.0,52.7848,2022-04-27 19:39:55.858
FTM3S,USDT,0.276,14284.708,0.2754,2.5255,0.2765,1634244603012.0,206.8606047,2022-04-27 19:46:44.256
FTT,USDT,43.309,10.0,43.264,10.0,43.286,1632595834601.0,0.0231,2022-04-19 21:11:46.458
FTT,BTC,0.0010109,25.313,0.0010091,52.6536,0.0010091,1632501561289.0,0.0169,2022-04-27 19:42:10.156
FXS,BTC,0.0007021,75.8178,0.0007011,0.1575,0.0007027,1636632320781.0,0.0522,2022-04-27 19:45:31.247
FXS,USDT,34.612,8.99,34.545,8.99,34.632,1636658309338.0,0.54747054,2022-04-19 21:11:46.646
GAL,USDT,6.414,49.554,6.396,47.7081,6.415,1651789205498.0,0.2733,2022-05-14 22:27:26.461
GALAX,USDT,0.17191,5860.0,0.17189,2070.7788,0.17188,1639583411547.0,580.63998138,2022-04-27 19:44:25.036
GALAX3L,USDT,0.008792,35670.098,0.008784,717.6474,0.008784,1638479800113.0,0.0001,2022-04-19 21:11:46.637
GALAX3S,USDT,3.7631,3.0817957,3.7575,94.8235,3.7631,1638463632643.0,0.0006043,2022-04-19 21:11:46.639
GAS,BTC,0.00012409,26.5046,0.00012381,1.5893,0.00012381,1645526354709.0,0.4927,2022-04-19 22:27:02.722
GAS,USDT,5.1923,91.2893,5.1623,205.5518,5.1865,1615172553944.0,9.4,2022-04-19 21:11:46.663
GHST,USDT,1.9046,0.81607207,1.8969,3.6982,1.9046,1635335554193.0,0.1346,2022-04-19 21:11:46.536
GLMR,USDT,2.9943,105.0,2.992,82.0,2.996,1642101801064.0,4.07022696,2022-04-27 19:44:25.040
GLQ,USDT,0.01026,244.7447,0.01021,259.836,0.01023,1621369535800.0,161.2473,2022-04-19 21:11:46.677
GMB,ETH,3.224e-07,36526.2347,3.068e-07,109396.2856,3.169e-07,1612851802437.0,10883.3,2022-04-19 22:22:25.426
GMB,USDT,0.000806,190.8917,0.000801,10030.0,0.000807,1618960975931.0,530.4695,2022-04-27 19:19:47.432
GMB,BTC,2.39e-08,21340.1491,2.36e-08,2187615.6779,2.37e-08,1612724336803.0,591.7658,2022-04-19 21:11:46.626
GMEE,USDT,0.0472,5218.5215,0.0469,15699.8121,0.047,1629149545145.0,11815.9025,2022-04-27 19:41:03.805
GMT,USDT,3.8031,762.6678,3.8016,266.6493,3.803,1648372684649.0,0.26273994,2022-04-27 19:45:31.246
GODS,USDT,0.9378,211.0,0.9356,426.6636,0.9331,1638227493554.0,295.2543,2022-04-27 19:42:10.139
GOM2,USDT,0.0365,364.1044,0.03625,2749.8969,0.03649,1612749377928.0,1957.971,2022-04-27 19:43:17.396
GOM2,BTC,9.5e-07,1417.8452,9.2e-07,440.3305,9.3e-07,1612699483705.0,390.0146,2022-04-27 19:38:48.596
GOVI,BTC,2.181e-05,33.7,2.156e-05,26.4286,2.156e-05,1620866220902.0,0.5506,2022-04-19 21:11:46.731
GOVI,USDT,0.8805,9.5057,0.8774,2.1958,0.8805,1620852499937.0,85.5516,2022-04-19 22:15:06.832
GRT,USDT,0.36809,0.3538,0.36801,4500.4431,0.36804,1613665742466.0,13.0652,2022-04-27 19:37:33.260
GRT,KCS,0.0144,1031.8428,0.01429,1100.0,0.01426,1615289391810.0,500.0,2022-05-14 22:27:26.462
GST,USDT,2.9668,10.8783,2.9627,0.6373,2.9735,1651221096640.0,19.3267,2022-05-14 22:27:26.461
GTC,USDT,5.5017,93.4404,5.4885,85.4679,5.5017,1631340232849.0,0.3702,2022-04-27 19:24:34.898
GTC,BTC,0.00014807,78.6027,0.00014756,78.8012,0.00014866,1631211201904.0,0.7638,2022-04-19 21:11:46.596
HAI,BTC,1.1499e-06,2091.0,1.1268e-06,2708.4877,1.1398e-06,1646889606782.0,107.2799,2022-04-27 19:45:31.254
HAI,USDT,0.05248,918.6123,0.05241,840.0,0.05252,1619237729900.0,275.7625,2022-04-19 22:15:06.832
HAKA,USDT,0.054,5339.6625,0.0538,11535.1058,0.054,1628654950685.0,187.3,2022-04-19 21:11:46.637
HAPI,USDT,15.7483,1.8428,15.693,8.2896,15.7483,1629256291733.0,4.2944,2022-04-27 19:43:17.406
HBAR,USDT,0.16944,12615.9693,0.16933,1450.0,0.16936,1631890479337.0,2321.9091,2022-04-27 19:25:47.360
HEGIC,USDT,0.01585,871.6299,0.01575,55.2088,0.01575,1636584374282.0,16.4211,2022-04-19 21:11:46.645
HERO,USDT,0.02899,2100.0,0.02898,10999.9998,0.02894,1635746359275.0,157.681,2022-04-27 19:39:55.857
HOTCROSS,USDT,0.06344,4254.0,0.06335,162.5917,0.06335,1621830466784.0,0.0194,2022-05-14 22:31:26.678
ICP,USDT,15.34,108.926,15.33,173.7744,15.33,1621621240128.0,68.3602,2022-04-27 19:44:25.033
ICP,BTC,0.000387,0.0041,0.000386,511.077,0.000386,1621934354676.0,0.004,2022-04-27 19:19:47.432
IMX,USDT,1.7103,0.0666,1.7092,186.3,1.7079,1638324318801.0,7.033,2022-04-27 19:45:31.243
INJ,USDT,4.223,0.147,4.218,40.0,4.23,1634788002229.0,370.7324,2022-04-27 19:23:20.478
IOI,USDT,0.7296,1.8942,0.7254,31.0415,0.7289,1629136715916.0,1.3627,2022-04-19 22:13:57.279
IOST,ETH,1.0156e-05,19561.3136,1.0102e-05,20834.6325,1.0114e-05,1613050670127.0,2555.4289,2022-04-19 21:11:46.722
IOST,USDT,0.03117,10455.259,0.03113,20752.3136,0.03115,1617007681636.0,9555.259,2022-04-19 21:11:46.678
IOST,BTC,7.559e-07,10455.259,7.529e-07,50.885,7.536e-07,1613050736744.0,165.4365,2022-04-19 21:11:46.731
IOTA,USDT,0.6161,1117.0,0.6153,705.0433,0.6153,1640968895849.0,21.6546,2022-04-27 19:44:25.037
IOTA,BTC,1.636e-05,0.0001,1.634e-05,3.7219,1.636e-05,1640957089202.0,471.3583,2022-04-19 21:11:46.636
IOTX,USDT,0.06988,798.6295,0.06985,7411.3617,0.06987,1629309782286.0,65.4761,2022-04-27 19:44:25.037
ISP,USDT,0.002512,30780.0,0.002503,605.4973,0.002502,1636176805707.0,5418.4903,2022-04-27 19:42:10.145
ITAMCUBE,USDT,0.4021,474587.8391,0.402,347.7769,0.4021,1650853743192.0,529.04,2022-04-27 19:46:44.259
JAR,BTC,9.37e-08,6221.8414,9.3e-08,2055.1048,9.32e-08,1612803768668.0,43.3055,2022-04-27 19:43:17.378
JASMY,USDT,0.02102,532512.3382,0.02101,48.3389,0.02101,1635667942618.0,54.4664,2022-04-27 19:46:44.240
JST,USDT,0.07286064,3400.0,0.07280284,3400.0,0.07283397,1612915858870.0,1846.8259,2022-04-19 21:11:46.712
JUP,ETH,4.03e-06,23416.0898,4e-06,25221.5976,4.01e-06,1622656687156.0,68.115,2022-04-27 19:42:10.154
KAI,BTC,7.117e-07,156.8302,7.052e-07,5096.942,7.117e-07,1612934885973.0,10.0,2022-04-27 19:43:17.397
KAT,BTC,4.55e-08,18895.3641,4.51e-08,357917.5358,4.52e-08,1612767752648.0,18888.6217,2022-04-19 21:11:46.522
KCS,BTC,0.0005053,0.347,0.0005051,0.0593,0.0005053,1613704012211.0,0.0136,2022-04-19 21:11:46.723
KCS,USDT,20.857,70.6339,20.856,25.2437,20.857,1648093747182.0,1.47480462,2022-04-19 21:11:46.467
KDA,BTC,0.00011965,29.4186,0.00011918,446.5299,0.00011905,1620988573598.0,0.443,2022-04-27 19:26:54.335
KDA,USDT,4.7024,37.0024,4.6953,12.4053,4.7024,1621602267804.0,0.487,2022-04-27 19:39:55.842
KLV,BTC,8.73e-07,14136.8251,8.71e-07,5708.6109,8.72e-07,1645515183633.0,1995.0975,2022-04-27 19:21:01.096
KLV,USDT,0.03423,3470.0,0.03419,8270.3698,0.03423,1645534727820.0,4001.0,2022-04-27 19:43:17.397
KMD,USDT,0.487,62.6249,0.486,372.7315,0.487,1646877047241.0,54.4996,2022-04-19 21:11:46.596
KNC,ETH,0.0019197,0.162,0.0019142,83.1629,0.0019183,1612836686892.0,0.1622,2022-04-27 19:21:01.096
KNC,USDT,5.594,181.00034105,5.574,199.7442,5.594,1650944742018.0,0.46835895,2022-04-27 19:39:55.859
KOL,ETH,1.011e-05,1000.0,1.003e-05,1000.0,1.002e-05,1639666352197.0,20.1057,2022-04-19 21:11:46.636
KRL,USDT,0.79695,125.3109,0.79522,30.0,0.79738,1616009361273.0,40.7841,2022-04-27 19:25:47.362
KRL,BTC,2.047e-05,90.0,2.04e-05,0.0001,2.04e-05,1615915208546.0,118.6403,2022-04-27 19:39:55.862
KSM,USDT,157.9992,1.569,157.83,2.3,157.7851,1613795055266.0,1.0022,2022-04-27 19:39:55.855
KSM,BTC,0.00423013,2.7504,0.00421938,0.1009,0.00422795,1613232282224.0,0.0115,2022-04-19 21:11:46.654
LAVAX,USDT,0.0343,904.5077,0.03372,67.0,0.03372,1646365599965.0,14.5442,2022-04-19 21:11:46.442
LAYER,USDT,0.1608,98.1634,0.1601,11734.6063,0.1607,1616555578773.0,5649.4,2022-04-27 19:21:01.078
LINA,BTC,6.82e-07,48503.0,6.77e-07,4357.3586,6.8e-07,1638954399830.0,12.498,2022-04-19 21:11:46.636
LINK,USDT,12.7205,32.008,12.7177,73.4922,12.7174,1616780342192.0,0.0411,2022-04-27 19:38:48.613
LINK,BTC,0.00032435,32.008,0.00032403,55.1315,0.00032403,1613658775762.0,0.0058,2022-04-27 19:38:48.607
LINK,USDC,12.7249,18.9302,12.6984,52.406,12.7147,1613668027696.0,0.1181,2022-04-27 19:43:17.406
LINK3S,USDT,3.2708,307.3611,3.2555,31.1234,3.2697,1632405327770.0,4.4825,2022-04-27 19:46:44.256
LIT,USDT,1.4274,1.2048,1.4243,614.8883,1.427,1637688551895.0,0.1189,2022-04-19 22:13:57.249
LITH,ETH,1.19e-06,5000.0,1.18e-06,44854.4107,1.18e-06,1628187224894.0,362.4189,2022-04-27 19:44:25.035
LITH,USDT,0.003444,3719.24743711,0.003418,408.1686,0.003444,1628243449302.0,2048.9978,2022-04-27 19:44:25.036
LOCG,USDT,0.05686,2.7041,0.05683,29.9254,0.05686,1620150638272.0,19.1727,2022-04-27 19:19:47.433
LOKI,ETH,0.0001931,247.3688,0.0001929,496.2907,0.0001931,1612997263595.0,76.0581,2022-04-27 19:43:17.396
LOKI,BTC,1.491e-05,2.3807,1.486e-05,3.0728,1.488e-05,1612879875766.0,186.9507,2022-04-19 21:11:46.607
LOKI,USDT,0.55988,105.3106,0.55906,0.2664,0.55988,1613004142807.0,34.1044,2022-04-27 19:24:34.905
LOOKS,USDT,1.6759,698.6359,1.6758,0.6476,1.676,1648879914982.0,1.3641,2022-04-19 21:11:46.642
LRC,ETH,0.00030797,809.0,0.00030579,743.3318,0.00030656,1636790165308.0,19.3544,2022-04-19 21:11:46.644
LRC,BTC,2.29e-05,530.9537,2.284e-05,2.546,2.29e-05,1636748115290.0,1.0698,2022-04-19 21:11:46.645
LRC,USDT,0.9428,869.9795,0.9426,3.3368,0.9427,1614153594755.0,44.6175,2022-04-19 21:11:46.720
LSS,USDT,0.52203,3.3507,0.51901,936.8707,0.51901,1629255270528.0,54.7959,2022-04-27 19:21:01.081
LTC,USDT,100.441,20.79882112,100.44,0.40862,100.441,1616936094003.0,2.41379088,2022-04-27 19:43:17.361
LTC,USDC,100.33,0.0001,100.29,1.0685,100.33,1614083560804.0,0.8893,2022-04-27 19:19:47.424
LTC,BTC,0.002728,1.372945,0.002727,1.506569,0.002728,1613917399968.0,0.001733,2022-04-19 22:13:57.254
LTC,ETH,0.03482,8.468791,0.03478,1.42431,0.03479,1613594352991.0,0.27581438,2022-04-27 19:42:10.155
LTC3S,USDT,0.7369,0.3242,0.7333,433.1998,0.7411,1622814789510.0,1.8059641,2022-04-19 22:16:15.177
LTO,BTC,5.74e-06,0.0533,5.73e-06,597.8403,5.72e-06,1635763680586.0,1.5326,2022-04-19 21:11:46.680
LUNA,BTC,0.00227489,16.3319,0.00227454,5.5,0.00227478,1614789934535.0,5.4991,2022-04-27 19:43:17.389
LUNA,KCS,4.7223,7.7158,4.7213,0.0162,4.7216,1615364638065.0,0.0267,2022-05-02 22:13:15.868
LUNA,UST,93.4236,5.0231,93.3493,31.4018,93.3533,1613714541642.0,1.0684,2022-04-19 21:11:46.506
LUNA,ETH,0.030486,6.0,0.030463,6.0,0.030463,1638741186919.0,0.0008,2022-04-19 21:11:46.723
LUNA,USDT,89.1344,0.4754,89.1343,555.2591,89.1344,1623988075338.0,21.0,2022-04-27 19:41:03.799
LUNA3L,USDT,2.0475,1.0944,2.0447,6.9578,2.0447,1631357517512.0,1.0933,2022-04-19 21:11:46.614
LUNA3S,USDT,0.478625,5.9425,0.477143,60.8166,0.478561,1631353556157.0,3.7255,2022-04-27 19:41:03.807
LYM,USDT,0.004707,5291.0874,0.004701,4402.8421,0.004706,1612835455979.0,5724.994,2022-04-27 19:43:17.396
MAHA,USDT,3.5945,0.1557,3.5726,14.344,3.5797,1622029949436.0,0.3981,2022-04-27 19:43:17.378
MANA,USDT,1.2646,288.0,1.26399,134.4833,1.26468,1618700888911.0,251.8186,2022-05-14 22:37:37.187
MANA3L,USDT,0.1654,2222.1868,0.1651,9.0002,0.1654,1637203405423.0,155.4245,2022-04-19 21:11:46.545
MANA3S,USDT,1.8162,1.9583,1.8095,31.7328,1.8102,1637242394119.0,138.755,2022-04-27 19:42:10.145
MAP,BTC,5.965e-07,3679.1463,5.843e-07,1727.0842,5.913e-07,1612786050033.0,144.0531,2022-04-19 21:11:46.496
MARSH,USDT,0.4264,0.7601,0.4257,586.0959,0.4262,1629152189552.0,208.932,2022-04-19 21:11:46.678
MASK,USDT,4.2124,14.3964,4.2079,37.0,4.2109,1614604135979.0,1.79211095,2022-04-27 19:25:47.364
MATIC,USDT,1.445,3515.6365,1.4449,61.8024,1.4454,1624140337115.0,1.3995,2022-04-19 22:13:57.235
MATIC,BTC,3.208e-05,50.8954,3.206e-05,0.2853,3.208e-05,1621533195014.0,0.2002,2022-04-27 19:44:25.032
MATIC3S,USDT,0.2192,1459.7141,0.2177,1561.202,0.2188,1634837432415.0,24.0359,2022-04-19 22:22:25.424
MATTER,USDT,0.401,496.678,0.4008,82.49,0.4009,1632823277341.0,1.7337,2022-04-27 19:45:31.256
MELOS,USDT,0.13795,310.0,0.13735,63.5406,0.1376,1647505390065.0,3331.9256,2022-04-27 19:42:10.144
MEM,USDT,0.07725,17912.0126,0.07715,7921.7501,0.07729,1629114620518.0,2139.5985,2022-04-19 21:11:46.632
METIS,USDT,58.9,0.017,58.62,1.544,58.89,1646312029843.0,1.11428906,2022-04-27 19:26:54.342
MFT,USDT,0.00798,128469.48793484,0.00796,37788.2998,0.00798,1637671463133.0,1423.43926516,2022-04-27 19:42:10.145
MITX,BTC,8.67e-07,740.4667,8.57e-07,521.0,8.61e-07,1645508399830.0,237.4994,2022-04-27 19:09:04.456
MJT,KCS,0.048884,96.42,0.04878,348.38,0.048885,1644592106066.0,145.09,2022-04-19 21:11:46.542
MJT,USDT,1.02,191.26,1.0183,135.0157,1.0192,1644693928901.0,106.17,2022-04-19 21:11:46.443
MKR,ETH,0.5794,0.2767,0.575,0.6845,0.573,1612925247613.0,0.0015,2022-04-27 19:43:17.396
MKR,DAI,1847.85,0.1312,1823.78,0.1315,1835.82,1613024988585.0,0.0022,2022-04-19 21:11:46.496
MNST,USDT,0.02075,69175.15497826,0.02065,20946.7946,0.02066,1629158725889.0,19820.91,2022-04-19 22:16:15.178
MONI,USDT,0.1716,838.7451,0.1713,453.7452,0.1716,1637321147973.0,12.0,2022-04-19 21:11:46.545
MOVR,ETH,0.01616,0.0052,0.016126,15.6686,0.016127,1638484062188.0,0.1936,2022-04-27 19:22:08.163
MOVR,USDT,46.663,6.7,46.5995,7.5,46.5593,1638524992546.0,0.3257,2022-04-27 19:25:47.366
MTL,BTC,6.816e-05,8.643,6.811e-05,54.2715,6.816e-05,1628825196882.0,2.6955,2022-04-27 19:44:25.036
MTL,USDT,2.6722,106.3,2.6713,57.1018,2.6724,1628898299419.0,0.0001,2022-04-27 19:44:25.037
MTRG,USDT,5.218,0.2868,5.192,0.5809,5.194,1635844585287.0,4.3191,2022-04-19 21:11:46.632
MTV,USDT,0.0039355,8863.0,0.0039215,31041.1578,0.0039215,1612988604849.0,40000.0,2022-04-19 20:59:06.432
MTV,BTC,9.6e-08,28752.5071,9.4e-08,42441.7477,9.5e-08,1612906247406.0,4108.8114,2022-04-19 21:11:46.626
MTV,ETH,1.28e-06,24583.1988,1.26e-06,28338.8281,1.27e-06,1612956773877.0,23289.8291,2022-04-19 21:11:46.726
MXC,USDT,0.07702,8000.0,0.07664,50.6541,0.0772,1621491511273.0,40.3055,2022-05-14 22:31:26.678
MXW,USDT,0.006224,599.2,0.006112,59716.1,0.00611,1612717570204.0,81385.4,2022-04-19 21:11:46.722
NAKA,USDT,0.2535,111.3,0.2517,111.3,0.253,1634471976410.0,135.1779,2022-04-27 19:25:47.361
NEAR,BTC,0.00042,0.7821,0.0004197,3.658,0.0004197,1629395284058.0,1.401,2022-04-19 22:16:15.196
NEAR,USDT,12.8862,87.682,12.8853,38.3933,12.8857,1647396268931.0,110.0,2022-04-27 19:41:03.802
NEAR3L,USDT,0.6137,24.0598,0.6117,1688.215,0.6129,1636001503804.0,1.2783,2022-04-27 19:25:47.364
NEAR3S,USDT,0.334133,429.2055,0.334088,51.375,0.334088,1636017379588.0,2.1094,2022-04-27 19:25:47.383
NEO,USDT,21.9917,12.0,21.9778,0.030986,21.9778,1613586457537.0,0.01581,2022-04-19 22:13:57.256
NEO,BTC,0.0004845,0.046832,0.0004843,0.063686,0.0004843,1613195859432.0,0.05446,2022-04-27 19:45:31.254
NEO,ETH,0.006581,0.0855,0.006573,0.103202,0.006583,1613371912586.0,0.002756,2022-04-27 19:42:10.154
NEO,KCS,1.049,0.109342,1.047,12.904809,1.048,1613025714829.0,0.385245,2022-04-19 21:11:46.554
NFT,USDT,1.557e-06,695108044.6258,1.556e-06,1274458728.6416,1.556e-06,1629266960673.0,94814977.2183,2022-04-27 19:25:47.379
NFTB,USDT,0.0815,11.7632,0.0811,438.453,0.081,1634807784352.0,84.7242,2022-04-19 22:13:57.263
NGL,USDT,0.594,5.7536,0.586,5.7536,0.59,1638572179746.0,205.593,2022-04-27 19:19:47.436
NGL,BTC,1.834e-05,9.393,1.801e-05,20.0,1.818e-05,1638546237477.0,8.5545,2022-04-19 21:11:46.636
NHCT,USDT,0.2255,8700.7957,0.2243,5821.4136,0.2257,1649656888118.0,129.7918,2022-04-27 19:26:54.343
NIM,USDT,0.0027238,3304.2073,0.0027128,601.0143,0.0027128,1612968314192.0,521.3796,2022-04-27 19:24:34.906
NOIA,USDT,0.142215,11.7638,0.141849,393.0,0.14163,1612844559396.0,1.9516,2022-04-19 22:22:25.425
NORD,BTC,2.299e-05,89.0,2.259e-05,14.4275,2.281e-05,1636135104332.0,150.309,2022-04-27 19:26:54.345
NTVRK,USDT,1.0261,13.02,1.0244,97.5418,1.0266,1634218136978.0,28.836,2022-04-27 19:39:55.858
NULS,BTC,1.176e-05,386.862969,1.174e-05,44.940725,1.174e-05,1612808846145.0,0.363412,2022-04-19 21:11:46.535
NULS,ETH,0.0001446,178.599233,0.0001389,490.8,0.0001435,1612865399672.0,348.247604,2022-04-27 19:44:25.035
NWC,USDT,0.273585,25.104,0.273185,23.266,0.272911,1613016909770.0,25.019,2022-04-19 21:11:46.398
NYM,USDT,1.0691,477.6567,1.0652,19.4522,1.0632,1651042843447.0,6.2747,2022-04-27 19:44:25.042
ODDZ,USDT,0.08197,26.0677,0.08172,186.4757,0.08172,1638413334119.0,23.5243,2022-04-27 19:41:03.823
OGN,BTC,1.588e-05,734.3379,1.583e-05,116.5128,1.588e-05,1621046797261.0,0.1049,2022-04-19 21:11:46.677
OGN,USDT,0.5354,6348.2032,0.5348,781.2695,0.5354,1621207365387.0,19.22058274,2022-04-27 19:37:33.278
OMG,USDT,2.479,618.2847,2.474,354.6374,2.473,1618344271223.0,0.6775,2022-05-14 22:31:26.678
ONE,BTC,3.05e-06,43985.3155,3.03e-06,81954.7042,3.04e-06,1613414286673.0,1.0729,2022-04-19 22:16:15.178
ONE,USDT,0.102398,2402.0,0.102298,2402.0,0.102338,1615151796992.0,1.0011,2022-04-27 19:21:01.085
OOKI,BTC,3.331e-07,6192.1496,3.262e-07,331101.914,3.243e-07,1640881315737.0,229.482,2022-04-19 21:11:46.636
OOKI,USDT,0.01359,47448.7027,0.01354,15597.5847,0.01356,1640852157348.0,1979.3625,2022-04-19 21:11:46.636
OPCT,USDT,0.15544,5.3831,0.15459,3.9683,0.15459,1629159245124.0,1.9924,2022-04-27 19:19:47.433
ORN,USDT,3.2784,66.0,3.272,66.0,3.2758,1612952427140.0,60.97673674,2022-04-19 21:11:46.637
OUSD,USDT,0.9972,503.7528,0.9966,67106.5105,0.9965,1620999894313.0,5.2276,2022-04-19 21:11:46.678
OXT,BTC,5.59e-06,4523.8697,5.55e-06,2669.467,5.55e-06,1631539399242.0,1.4544,2022-04-27 19:42:10.154
OXT,ETH,7.58e-05,4263.1461,7.53e-05,2762.8791,7.56e-05,1631720362382.0,1.2216,2022-04-27 19:43:17.397
PAXG,USDT,1957.47,0.345,1957.14,0.0057,1957.14,1636568953083.0,0.0007,2022-04-19 21:11:46.646
PBX,USDT,0.007617,340.8462,0.007577,1430.0,0.00761,1631904995667.0,3153.7451,2022-04-19 22:13:57.259
PDEX,USDT,4.2064,0.0001,4.1993,30.3692,4.2064,1618668792943.0,0.6107,2022-04-27 19:19:47.433
PEL,USDT,0.055,139.6105,0.0547,143.3296,0.0547,1638874061810.0,42.7341,2022-04-19 21:11:46.636
PEOPLE,USDT,0.0539,388539.3095,0.0537,288333.6987,0.0538,1640256999156.0,0.3397,2022-04-19 21:11:46.436
PHA,USDT,0.2676,4004.059,0.2672,6.7667,0.2672,1614416799172.0,1107.3542,2022-04-19 22:13:57.263
PHNX,BTC,4.299e-07,3928.4833,4.109e-07,1039.0,4.254e-07,1618941500024.0,3.8455,2022-04-19 21:11:46.731
PHNX,USDT,0.01316,16.7137,0.013,11300.9481,0.01307,1618964567207.0,20693.768,2022-04-27 19:19:47.432
PIVX,ETH,8.11e-05,8.69297,8.09e-05,77.93549,8.09e-05,1612808525555.0,3.49796,2022-04-19 21:11:46.378
